Date,Open,High,Low,Close,Adj Close,Volume
2013-04-19,1706.819946,1710.430054,1702.599976,1706.280029,1706.280029,127681200
2013-04-22,1703.260010,1709.489990,1702.469971,1706.680054,1706.680054,111060400
2013-04-23,1706.380005,1707.849976,1699.739990,1700.390015,1700.390015,133607600
2013-04-24,1700.959961,1707.349976,1700.959961,1707.349976,1707.349976,133237800
2013-04-25,1702.670044,1709.640015,1700.250000,1706.339966,1706.339966,166122400
2013-04-26,1706.969971,1718.079956,1703.339966,1711.290039,1711.290039,210092800
2013-04-29,1709.699951,1711.849976,1706.290039,1707.969971,1707.969971,105224800
2013-04-30,1710.579956,1718.439941,1702.829956,1717.650024,1717.650024,211071000
2013-05-02,1715.010010,1715.229980,1704.969971,1713.459961,1713.459961,182606000
2013-05-03,1711.540039,1712.030029,1685.280029,1694.770020,1694.770020,236258400
2013-05-06,1771.619995,1826.219971,1743.140015,1752.020020,1752.020020,460879200
2013-05-07,1760.229980,1776.729980,1756.949951,1776.729980,1776.729980,311994800
2013-05-08,1781.900024,1783.569946,1769.170044,1774.000000,1774.000000,238911200
2013-05-09,1773.790039,1776.250000,1764.709961,1766.069946,1766.069946,178063200
2013-05-10,1752.260010,1772.890015,1752.260010,1772.380005,1772.380005,208414000
2013-05-13,1782.890015,1789.619995,1775.339966,1787.900024,1787.900024,161328400
2013-05-14,1786.150024,1793.150024,1784.339966,1788.430054,1788.430054,164086400
2013-05-15,1792.630005,1793.869995,1781.020020,1783.030029,1783.030029,169875600
2013-05-16,1780.489990,1781.390015,1765.449951,1766.719971,1766.719971,155140800
2013-05-17,1768.550049,1773.530029,1765.839966,1769.160034,1769.160034,112256200
2013-05-20,1772.989990,1781.050049,1770.949951,1777.150024,1777.150024,144817800
2013-05-21,1777.310059,1787.969971,1776.819946,1787.380005,1787.380005,144588000
2013-05-22,1788.609985,1795.589966,1781.140015,1783.880005,1783.880005,165246800
2013-05-23,1777.560059,1786.030029,1765.619995,1773.060059,1773.060059,198053200
2013-05-27,1770.119995,1771.699951,1764.969971,1767.130005,1767.130005,144209200
2013-05-28,1766.449951,1779.640015,1765.939941,1776.160034,1776.160034,135504800
2013-05-29,1777.739990,1786.569946,1777.630005,1783.469971,1783.469971,151129200
2013-05-30,1781.170044,1781.170044,1772.689941,1774.920044,1774.920044,146845200
2013-05-31,1776.699951,1780.979980,1769.219971,1769.219971,1769.219971,321700800
2013-06-03,1771.550049,1773.069946,1766.329956,1766.329956,1766.329956,155255600
2013-06-04,1768.780029,1776.739990,1767.199951,1776.739990,1776.739990,117899400
2013-06-05,1776.189941,1778.640015,1772.380005,1774.420044,1774.420044,109518400
2013-06-06,1775.349976,1777.739990,1767.229980,1769.599976,1769.599976,167003200
2013-06-07,1769.859985,1778.680054,1768.290039,1775.589966,1775.589966,145169800
2013-06-10,1780.170044,1792.670044,1780.170044,1787.800049,1787.800049,165618400
2013-06-11,1787.810059,1792.189941,1779.569946,1779.569946,1779.569946,177693200
2013-06-12,1775.800049,1777.400024,1767.300049,1775.119995,1775.119995,165395600
2013-06-13,1773.680054,1774.520020,1742.869995,1742.869995,1742.869995,190159400
2013-06-14,1749.410034,1762.439941,1749.140015,1762.189941,1762.189941,159414800
2013-06-17,1760.400024,1773.650024,1758.800049,1772.170044,1772.170044,116450800
2013-06-18,1769.579956,1774.780029,1765.380005,1774.050049,1774.050049,120170400
2013-06-19,1777.260010,1782.410034,1772.069946,1772.880005,1772.880005,126972000
2013-06-20,1764.170044,1766.729980,1758.859985,1762.339966,1762.339966,147695200
2013-06-21,1746.739990,1762.489990,1737.660034,1755.849976,1755.849976,313697800
2013-06-24,1755.760010,1756.020020,1737.989990,1738.189941,1738.189941,167779600
2013-06-25,1727.729980,1743.160034,1723.739990,1728.640015,1728.640015,241723600
2013-06-26,1729.680054,1744.640015,1724.819946,1740.760010,1740.760010,215527600
2013-06-27,1742.900024,1753.760010,1742.699951,1751.569946,1751.569946,197522800
2013-06-28,1754.459961,1773.540039,1754.459961,1773.540039,1773.540039,238644200
2013-07-01,1771.979980,1775.760010,1767.500000,1775.140015,1775.140015,131091200
2013-07-02,1776.390015,1777.060059,1770.260010,1771.890015,1771.890015,152958000
2013-07-03,1772.420044,1776.069946,1769.209961,1769.209961,1769.209961,170298400
2013-07-04,1768.819946,1774.660034,1768.819946,1771.339966,1771.339966,119228400
2013-07-05,1774.410034,1778.959961,1772.160034,1772.270020,1772.270020,120151000
2013-07-08,1772.869995,1774.670044,1762.869995,1762.869995,1762.869995,102448800
2013-07-09,1767.020020,1769.060059,1766.229980,1766.489990,1766.489990,122597800
2013-07-10,1766.670044,1771.239990,1766.670044,1768.709961,1768.709961,112803400
2013-07-11,1776.550049,1781.859985,1776.550049,1781.150024,1781.150024,153525200
2013-07-12,1785.000000,1786.979980,1781.739990,1785.650024,1785.650024,133078800
2013-07-15,1781.920044,1786.670044,1781.640015,1786.670044,1786.670044,111349400
2013-07-16,1785.540039,1790.400024,1784.609985,1786.390015,1786.390015,114531800
2013-07-17,1786.109985,1789.479980,1784.469971,1788.660034,1788.660034,174519600
2013-07-18,1786.989990,1792.359985,1786.989990,1791.540039,1791.540039,191668800
2013-07-19,1794.380005,1800.260010,1794.319946,1797.739990,1797.739990,187912400
2013-07-22,1799.130005,1803.310059,1797.680054,1797.680054,1797.680054,123564400
2013-07-23,1807.199951,1807.270020,1801.829956,1805.310059,1805.310059,180676400
2013-07-24,1804.229980,1810.709961,1804.229980,1810.000000,1810.000000,132910800
2013-07-25,1810.959961,1811.569946,1808.040039,1808.420044,1808.420044,128146400
2013-07-26,1806.209961,1811.650024,1804.979980,1807.609985,1807.609985,117871200
2013-07-29,1807.380005,1808.660034,1797.880005,1798.780029,1798.780029,132210000
2013-07-30,1799.069946,1800.199951,1792.770020,1795.079956,1795.079956,143664700
2013-07-31,1791.520020,1791.709961,1770.439941,1772.619995,1772.619995,277156000
2013-08-01,1775.709961,1782.719971,1766.699951,1777.819946,1777.819946,177514500
2013-08-02,1781.140015,1787.829956,1777.839966,1782.510010,1782.510010,156332700
2013-08-05,1786.020020,1788.930054,1781.609985,1785.140015,1785.140015,120836500
2013-08-06,1780.489990,1784.640015,1779.469971,1784.640015,1784.640015,135495100
2013-08-12,1779.750000,1786.199951,1777.869995,1784.569946,1784.569946,125016200
2013-08-13,1784.459961,1796.290039,1784.459961,1795.089966,1795.089966,131123000
2013-08-14,1799.949951,1801.260010,1791.459961,1793.729980,1793.729980,101374400
2013-08-15,1792.790039,1797.170044,1791.229980,1792.209961,1792.209961,130947000
2013-08-16,1789.739990,1791.260010,1786.760010,1788.239990,1788.239990,98314500
2013-08-19,1774.500000,1788.430054,1771.650024,1778.359985,1778.359985,148591400
2013-08-20,1773.849976,1774.469971,1737.579956,1745.420044,1745.420044,310561400
2013-08-21,1743.489990,1749.160034,1740.609985,1744.849976,1744.849976,197765500
2013-08-22,1727.339966,1729.459961,1710.170044,1720.369995,1720.369995,280926100
2013-08-23,1724.069946,1729.859985,1721.069946,1721.069946,1721.069946,198357600
2013-08-26,1722.140015,1732.250000,1722.140015,1722.489990,1722.489990,144335500
2013-08-27,1718.410034,1719.030029,1698.890015,1701.239990,1701.239990,212276600
2013-08-28,1687.229980,1689.680054,1660.390015,1686.170044,1686.170044,304554700
2013-08-29,1685.510010,1707.189941,1684.079956,1703.780029,1703.780029,186233900
2013-08-30,1708.310059,1727.579956,1708.310059,1727.579956,1727.579956,253350800
2013-09-02,1723.770020,1724.760010,1714.949951,1717.560059,1717.560059,93071800
2013-09-03,1718.349976,1727.939941,1715.979980,1724.209961,1724.209961,132452500
2013-09-04,1725.550049,1725.550049,1702.569946,1716.760010,1716.760010,149800300
2013-09-05,1719.099976,1723.689941,1718.560059,1720.969971,1720.969971,120043600
2013-09-06,1719.969971,1726.280029,1719.829956,1723.800049,1723.800049,128068200
2013-09-09,1726.270020,1747.030029,1726.270020,1747.030029,1747.030029,144055700
2013-09-10,1753.140015,1774.140015,1753.140015,1764.949951,1764.949951,217580800
2013-09-11,1769.800049,1776.109985,1763.050049,1768.479980,1768.479980,169404000
2013-09-12,1777.760010,1779.400024,1769.750000,1772.400024,1772.400024,128670300
2013-09-13,1768.390015,1770.800049,1764.130005,1770.800049,1770.800049,100178400
2013-09-17,1777.410034,1781.469971,1769.119995,1774.939941,1774.939941,139206200
2013-09-18,1772.510010,1774.780029,1769.689941,1771.400024,1771.400024,108065800
2013-09-19,1790.410034,1793.939941,1787.380005,1792.910034,1792.910034,225940200
2013-09-20,1796.060059,1805.150024,1794.890015,1801.829956,1801.829956,180599400
2013-09-23,1795.790039,1800.300049,1793.280029,1796.359985,1796.359985,125943600
2013-09-24,1790.780029,1792.479980,1785.410034,1792.479980,1792.479980,129269300
2013-09-25,1788.060059,1791.180054,1783.150024,1784.060059,1784.060059,137030600
2013-09-26,1784.300049,1784.959961,1774.160034,1774.160034,1774.160034,125821100
2013-09-27,1775.780029,1781.609985,1775.349976,1776.160034,1776.160034,108505400
2013-09-30,1775.280029,1781.839966,1762.300049,1768.619995,1768.619995,202544800
