"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2021","1,242.20","1,222.08","1,242.80","1,212.56","798.49K","0.23%"
"Apr 29, 2021","1,239.39","1,234.91","1,239.39","1,231.25","647.16K","0.80%"
"Apr 28, 2021","1,229.55","1,220.26","1,230.91","1,217.49","612.70K","0.80%"
"Apr 27, 2021","1,219.75","1,213.84","1,220.96","1,204.14","618.17K","0.33%"
"Apr 26, 2021","1,215.77","1,251.25","1,251.25","1,214.14","744.95K","-2.62%"
"Apr 23, 2021","1,248.53","1,227.18","1,248.53","1,216.15","716.52K","1.69%"
"Apr 22, 2021","1,227.82","1,264.31","1,271.98","1,227.82","770.37K","-3.19%"
"Apr 20, 2021","1,268.28","1,267.74","1,286.32","1,261.28","843.60K","0.61%"
"Apr 19, 2021","1,260.58","1,243.58","1,260.58","1,233.77","817.13K","1.77%"
"Apr 16, 2021","1,238.71","1,245.06","1,254.61","1,227.14","986.88K","-0.68%"
"Apr 15, 2021","1,247.25","1,262.25","1,265.87","1,247.25","806.49K","-0.69%"
"Apr 14, 2021","1,255.87","1,240.90","1,255.87","1,233.01","861.96K","0.60%"
"Apr 13, 2021","1,248.33","1,262.44","1,268.02","1,247.66","1.03M","-0.33%"
"Apr 12, 2021","1,252.45","1,236.79","1,252.45","1,232.35","890.31K","1.69%"
"Apr 09, 2021","1,231.66","1,231.51","1,234.98","1,227.60","732.82K","-0.26%"
"Apr 08, 2021","1,234.89","1,242.38","1,246.40","1,232.26","664.51K","-0.60%"
"Apr 07, 2021","1,242.38","1,237.39","1,242.38","1,232.52","727.82K","0.20%"
"Apr 06, 2021","1,239.96","1,233.37","1,244.63","1,231.14","694.06K","0.32%"
"Apr 05, 2021","1,236.05","1,245.28","1,245.28","1,228.18","693.04K","0.95%"
"Apr 02, 2021","1,224.45","1,225.76","1,228.29","1,221.07","661.89K","0.69%"
"Apr 01, 2021","1,216.10","1,194.59","1,217.26","1,192.83","672.84K","2.07%"
"Mar 31, 2021","1,191.44","1,186.36","1,196.45","1,186.36","703.08K","0.43%"
"Mar 30, 2021","1,186.36","1,179.64","1,187.29","1,172.85","780.73K","0.91%"
"Mar 29, 2021","1,175.68","1,169.65","1,175.77","1,165.78","660.95K","1.16%"
"Mar 26, 2021","1,162.21","1,162.71","1,165.76","1,137.90","670.46K","-0.08%"
"Mar 25, 2021","1,163.10","1,164.41","1,170.76","1,154.44","690.73K","0.11%"
"Mar 24, 2021","1,161.81","1,169.42","1,174.20","1,154.22","750.48K","-1.83%"
"Mar 23, 2021","1,183.45","1,190.28","1,191.47","1,177.10","683.72K","-0.92%"
"Mar 22, 2021","1,194.43","1,200.05","1,200.21","1,189.31","700.87K","0.03%"
"Mar 19, 2021","1,194.05","1,195.47","1,199.67","1,191.96","680.90K","-0.57%"
"Mar 18, 2021","1,200.94","1,196.60","1,200.94","1,191.94","628.64K","1.25%"
"Mar 17, 2021","1,186.09","1,178.64","1,186.09","1,176.26","701.09K","0.52%"
"Mar 16, 2021","1,179.90","1,184.91","1,184.91","1,171.76","683.85K","-0.39%"
"Mar 15, 2021","1,184.56","1,183.89","1,186.06","1,178.80","676.96K","0.25%"
"Mar 12, 2021","1,181.56","1,185.21","1,186.52","1,178.14","624.71K","-0.01%"
"Mar 11, 2021","1,181.73","1,170.08","1,183.73","1,170.08","629.10K","1.00%"
"Mar 10, 2021","1,170.08","1,163.86","1,170.59","1,154.89","723.92K","0.70%"
"Mar 09, 2021","1,161.97","1,160.96","1,166.42","1,150.94","641.43K","-0.54%"
"Mar 08, 2021","1,168.27","1,180.33","1,181.25","1,164.02","652.70K","-0.04%"
"Mar 05, 2021","1,168.69","1,164.19","1,169.56","1,155.60","594.84K","0.01%"
"Mar 04, 2021","1,168.52","1,191.78","1,191.90","1,159.48","673.45K","-1.55%"
"Mar 03, 2021","1,186.95","1,184.73","1,189.18","1,180.25","631.67K","0.03%"
"Mar 02, 2021","1,186.61","1,196.16","1,196.16","1,181.99","577.01K","0.04%"
"Mar 01, 2021","1,186.17","1,176.93","1,186.82","1,174.45","643.38K","1.51%"
"Feb 26, 2021","1,168.47","1,148.88","1,169.28","1,148.88","554.46K","0.26%"
