Date,Open,High,Low,Close
29-Apr-14,"1,409.02","1,414.15","1,405.04","1,412.33"
28-Apr-14,"1,409.56","1,417.02","1,409.19","1,411.23"
25-Apr-14,"1,419.63","1,423.27","1,408.16","1,408.16"
24-Apr-14,"1,424.80","1,426.53","1,419.40","1,422.67"
23-Apr-14,"1,418.57","1,424.99","1,417.83","1,423.39"
22-Apr-14,"1,417.28","1,419.41","1,408.87","1,415.05"
21-Apr-14,"1,410.05","1,416.79","1,406.64","1,413.07"
18-Apr-14,"1,411.14","1,414.97","1,407.89","1,409.18"
17-Apr-14,"1,401.34","1,411.51","1,401.02","1,408.78"
16-Apr-14,"1,390.19","1,401.84","1,389.56","1,401.84"
11-Apr-14,"1,384.14","1,389.47","1,381.07","1,389.16"
10-Apr-14,"1,384.88","1,389.78","1,380.19","1,389.56"
9-Apr-14,"1,384.06","1,389.57","1,380.55","1,382.02"
8-Apr-14,"1,392.70","1,399.07","1,378.97","1,379.34"
4-Apr-14,"1,392.19","1,397.46","1,388.64","1,392.01"
3-Apr-14,"1,395.33","1,398.73","1,387.95","1,391.22"
2-Apr-14,"1,390.37","1,397.48","1,385.28","1,396.62"
1-Apr-14,"1,377.99","1,387.58","1,374.95","1,387.48"
31-Mar-14,"1,373.54","1,378.39","1,371.35","1,376.26"
28-Mar-14,"1,356.77","1,377.88","1,355.97","1,368.90"
27-Mar-14,"1,361.91","1,365.82","1,354.69","1,355.95"
26-Mar-14,"1,357.99","1,363.27","1,356.42","1,360.44"
25-Mar-14,"1,351.14","1,354.30","1,341.60","1,354.01"
24-Mar-14,"1,359.65","1,360.29","1,348.24","1,349.90"
21-Mar-14,"1,362.69","1,364.15","1,353.38","1,360.50"
20-Mar-14,"1,357.62","1,361.47","1,351.36","1,361.47"
19-Mar-14,"1,375.90","1,381.12","1,360.26","1,364.27"
18-Mar-14,"1,379.94","1,381.21","1,372.63","1,373.08"
17-Mar-14,"1,373.79","1,377.29","1,366.75","1,377.10"
14-Mar-14,"1,364.17","1,372.18","1,360.51","1,372.18"
13-Mar-14,"1,361.69","1,370.73","1,361.24","1,370.50"
12-Mar-14,"1,359.63","1,364.92","1,356.41","1,356.42"
11-Mar-14,"1,352.62","1,366.06","1,351.84","1,364.28"
10-Mar-14,"1,354.21","1,355.90","1,338.48","1,349.05"
7-Mar-14,"1,355.00","1,358.00","1,351.07","1,355.08"
6-Mar-14,"1,352.18","1,354.08","1,348.22","1,352.21"
5-Mar-14,"1,354.64","1,357.39","1,343.54","1,351.64"
4-Mar-14,"1,344.40","1,350.44","1,343.56","1,345.82"
3-Mar-14,"1,330.73","1,346.71","1,330.53","1,339.21"
28-Feb-14,"1,318.26","1,326.64","1,314.27","1,325.33"
27-Feb-14,"1,306.52","1,321.02","1,305.69","1,318.05"
26-Feb-14,"1,304.35","1,309.34","1,302.64","1,304.62"
25-Feb-14,"1,304.66","1,312.73","1,299.70","1,303.88"
24-Feb-14,"1,298.61","1,304.66","1,294.27","1,301.38"
21-Feb-14,"1,304.70","1,309.63","1,295.74","1,304.21"
20-Feb-14,"1,314.36","1,317.23","1,300.91","1,303.98"
19-Feb-14,"1,331.45","1,332.55","1,318.55","1,321.00"
18-Feb-14,"1,328.45","1,330.03","1,315.22","1,326.21"
17-Feb-14,"1,319.36","1,333.30","1,316.87","1,332.37"
13-Feb-14,"1,314.27","1,317.08","1,308.40","1,311.87"
12-Feb-14,"1,299.37","1,314.07","1,298.54","1,314.06"
11-Feb-14,"1,293.07","1,299.85","1,288.36","1,296.25"
10-Feb-14,"1,301.41","1,303.44","1,288.26","1,290.66"
7-Feb-14,"1,302.84","1,306.12","1,295.29","1,296.49"
6-Feb-14,"1,289.35","1,295.38","1,285.39","1,295.24"
5-Feb-14,"1,283.22","1,287.05","1,272.04","1,280.25"
4-Feb-14,"1,281.34","1,283.18","1,273.94","1,276.84"
3-Feb-14,"1,282.30","1,295.13","1,280.90","1,292.81"
31-Jan-14,"1,267.83","1,274.50","1,266.78","1,274.28"
30-Jan-14,"1,263.85","1,267.98","1,258.05","1,264.07"
29-Jan-14,"1,274.65","1,279.32","1,267.82","1,271.42"
28-Jan-14,"1,286.73","1,287.81","1,268.07","1,271.79"
